MiniMAC Test Vectors  N=4  seed=42  total=20
======================================================================
[000] CORNER  smoke_W00x5_act0x3                  | out=[15, 0, 0, 0]
[001] CORNER  all_zeros                           | out=[0, 0, 0, 0]
[002] CORNER  identity_W_ones_act                 | out=[1, 1, 1, 1]
[003] CORNER  max_positive                        | out=[64516, 64516, 64516, 64516]
[004] CORNER  max_neg_weight_pos_act              | out=[-65024, -65024, -65024, -65024]
[005] CORNER  alternating_signs                   | out=[90, -100, 110, -120]
[006] RANDOM                                      | out=[-5992, -18328, 10094, 4609]
[007] RANDOM                                      | out=[1873, 1193, -5516, 17089]
[008] RANDOM                                      | out=[10113, -5966, 5853, -19598]
[009] RANDOM                                      | out=[-5316, -3791, -2449, -4437]
[010] RANDOM                                      | out=[-11697, 9157, -8943, -104]
[011] RANDOM                                      | out=[-17948, 31, -12156, 4838]
[012] RANDOM                                      | out=[-10281, -2433, 12167, -7968]
[013] RANDOM                                      | out=[-2330, 4434, 2755, 4234]
[014] RANDOM                                      | out=[4513, -17196, -7620, -4548]
[015] RANDOM                                      | out=[1604, 2956, 20301, -12906]
[016] RANDOM                                      | out=[13297, -7325, 296, -24835]
[017] RANDOM                                      | out=[-9500, 6587, 1136, -6184]
[018] RANDOM                                      | out=[-15341, 20803, -3436, 2098]
[019] RANDOM                                      | out=[14819, -12890, 7643, 10459]
